,now,hex,type,r,t,alt_baro,gs,true_heading,squawk,lat,lon,nic,rc,seen_pos,version,nac_p,nac_v,sil,sil_type,sda,alert,spi,mlat,tisb,messages,seen,rssi,flight,emergency,category,track,baro_rate,alt_geom,nav_qnh,nav_altitude_mcp,nav_heading,nic_baro,gva,nav_modes,nav_altitude_fms
22,1669853489.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853941,-77.040802,8,186,8.321,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988140,4.5,-16.2,AAL2695 ,none,A3,,,,,,,,,,
23,1669853519.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853939,-77.040805,8,186,13.637,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988153,0.2,-15.9,AAL2695 ,none,A3,,,,,,,,,,
24,1669853549.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853941,-77.040802,8,186,3.358,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988166,0.7000000000000001,-13.4,AAL2695 ,none,A3,,,,,,,,,,
25,1669853579.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853941,-77.040802,8,186,3.563,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988181,0.6000000000000001,-24.2,AAL2695 ,none,A3,,,,,,,,,,
26,1669853609.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853941,-77.040802,8,186,13.263,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988196,0.30000000000000004,-16.3,AAL2695 ,none,A3,,,,,,,,,,
27,1669853639.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853941,-77.040802,8,186,43.263,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988208,0.6000000000000001,-17.7,AAL2695 ,none,A3,,,,,,,,,,
28,1669853669.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853951,-77.04079,8,186,18.317,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988218,0.7000000000000001,-15.9,AAL2695 ,none,A3,,,,,,,,,,
29,1669853699.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853939,-77.04079,8,186,4.076,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988233,0.2,-17.0,AAL2695 ,none,A3,,,,,,,,,,
30,1669853729.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853939,-77.04079,8,186,34.076,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988244,8.7,-20.6,AAL2695 ,none,A3,,,,,,,,,,
31,1669853759.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853941,-77.040787,8,186,4.715,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988262,0.9,-24.8,AAL2695 ,none,A3,,,,,,,,,,
