iri,source,version,citation,classification,name,description,aliases,superclassIris,defaultIfc,defaultSymbolIdCode
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AAACapability",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Anti-Aircraft Artillery Capability",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresCapability",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AAAFunction",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Anti-Aircraft Artillery Function",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresFunction",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AAARole",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Anti-Aircraft Artillery Role",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresRole",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AirTransportationInfrastructureItem",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Air Transportation Infrastructure Item",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/TransportationInfrastructureItem",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AllegianceCode",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Allegiance Code",,,"http://www.ontologyrepository.com/CommonCoreOntologies/CodeIdentifier",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AnalyticJudgment",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Analytic Judgment",,,"http://www.ontologyrepository.com/CommonCoreOntologies/DescriptiveInformationContentEntity",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AreaOfOperations",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Area of Operations",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/OperationalArea",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AreaOfResponsibility",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Area of Responsibility",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/OperationalArea",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ArmoredCapability",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Armored Capability",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresCapability",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ArmoredFunction",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Armored Function",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresFunction",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ArmoredInfantryCapability",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Armored Infantry Capability",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresCapability",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ArmoredInfantryFunction",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Armored Infantry Function",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresFunction",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ArmoredInfantryRole",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Armored Infantry Role",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresRole",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ArmoredRole",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Armored Role",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresRole",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ArtilleryCapability",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Artillery Capability",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresCapability",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ArtilleryFunction",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Artillery Function",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresFunction",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ArtilleryRole",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Artillery Role",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresRole",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AviationCapability",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Aviation Capability",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ManeuverCapability",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AviationFunction",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Aviation Function",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ManeuverFunction",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AviationRole",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Aviation Role",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ManeuverRole",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/BasicEncyclopediaNumber",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Basic Encyclopedia Number",,,"http://www.ontologyrepository.com/CommonCoreOntologies/CodeIdentifier",,
